group,x,y,area,selected,char,row_idx,x_local,y_local
0,121.16591928251121,385.4663677130045,223,0,H,7,41.16591928251121,95.4663677130045
0,121.37953795379538,602.0891089108911,303,1,H,7,41.37953795379538,312.0891089108911
1,146.9925650557621,385.32342007434943,269,0,A,0,66.9925650557621,95.32342007434943
1,148.5212464589235,424.2634560906515,353,1,A,0,68.52124645892351,134.26345609065152
2,172.82781456953643,855.9834437086092,302,1,R,17,92.82781456953643,565.9834437086092
2,175.31075697211156,385.45019920318725,251,0,R,17,95.31075697211156,95.45019920318725
3,198.64954682779455,881.4229607250755,331,1,S,18,118.64954682779455,591.4229607250755
3,201.5829383886256,384.9905213270142,211,0,S,18,121.58293838862559,94.99052132701422
4,224.80511182108626,602.8306709265175,313,1,H,7,144.80511182108626,312.83067092651754
4,227.49197860962568,389.1550802139037,187,0,H,7,147.49197860962568,99.15508021390372
5,250.67834394904457,627.2579617834394,314,1,I,8,170.67834394904457,337.25796178343944
5,252.6972972972973,386.75135135135133,185,0,I,8,172.6972972972973,96.75135135135133
6,275.48285714285714,906.2885714285715,350,1,T,19,195.48285714285714,616.2885714285715
6,281.03787878787875,385.03787878787875,132,0,T,19,201.03787878787875,95.03787878787875
