q,predicted,key,status,x,y
1,C,C,correct,231.0,89.0
2,B,A,wrong,177.0,123.0
3,C,C,correct,231.0,157.0
4,A,A,correct,125.0,194.0
5,C,C,correct,233.0,227.0
6,D,A,wrong,285.0,296.0
7,C,B,wrong,231.0,329.0
8,B,C,wrong,177.0,367.0
9,B,D,wrong,178.0,403.0
10,B,A,wrong,177.0,435.0
11,A,D,wrong,122.0,503.0
12,A,C,wrong,123.0,539.0
13,D,B,wrong,287.0,572.0
14,D,A,wrong,284.0,608.0
15,C,C,correct,232.0,639.0
16,D,D,correct,287.0,710.0
17,B,B,correct,179.0,743.0
18,B,C,wrong,177.0,777.0
19,A,B,wrong,123.0,811.0
20,A,A,correct,122.0,847.0
21,A,D,wrong,416.0,89.0
22,D,B,wrong,578.0,122.0
23,A,C,wrong,412.0,159.0
24,C,C,correct,521.0,191.0
25,C,B,wrong,520.0,229.0
26,D,B,wrong,577.0,296.0
27,A,D,wrong,415.0,331.0
28,C,A,wrong,523.0,364.0
29,B,C,wrong,466.0,399.0
30,B,C,wrong,469.0,435.0
31,B,B,correct,469.0,505.0
32,B,B,correct,469.0,536.0
33,C,B,wrong,523.0,568.0
34,A,B,wrong,415.0,605.0
35,A,B,wrong,416.0,640.0
36,D,C,wrong,578.0,707.0
37,B,D,wrong,469.0,742.0
38,C,B,wrong,523.0,776.0
39,C,A,wrong,524.0,808.0
40,C,D,wrong,523.0,842.0
41,B,A,wrong,761.0,88.0
42,A,A,correct,705.0,122.0
43,A,A,correct,706.0,158.0
44,A,D,wrong,705.0,191.0
45,B,B,correct,759.0,227.0
46,B,C,wrong,759.0,295.0
47,C,C,correct,812.0,329.0
48,D,A,wrong,867.0,363.0
49,C,C,correct,814.0,398.0
50,A,B,wrong,705.0,431.0
51,D,C,wrong,867.0,505.0
52,B,A,wrong,758.0,537.0
53,B,B,correct,759.0,571.0
54,A,D,wrong,706.0,603.0
55,C,C,correct,814.0,639.0
56,C,A,wrong,815.0,707.0
57,B,A,wrong,759.0,743.0
58,D,B,wrong,872.0,775.0
59,D,D,correct,868.0,808.0
60,C,A,wrong,814.0,839.0
61,A,B,wrong,995.0,87.0
62,B,A,wrong,1051.0,122.0
63,D,B,wrong,1159.0,157.0
64,A,A,correct,995.0,193.0
65,B,A,wrong,1049.0,227.0
66,C,B,wrong,1103.0,295.0
67,C,A,wrong,1103.0,329.0
68,A,D,wrong,995.0,363.0
69,B,B,correct,1052.0,398.0
70,D,C,wrong,1157.0,434.0
71,D,D,correct,1159.0,502.0
72,D,A,wrong,1160.0,538.0
73,A,A,correct,995.0,571.0
74,B,A,wrong,1048.0,601.0
75,B,B,correct,1049.0,638.0
76,D,C,wrong,1160.0,707.0
77,C,C,correct,1105.0,741.0
78,B,D,wrong,1053.0,777.0
79,A,D,wrong,998.0,808.0
80,D,D,correct,1159.0,839.0
81,C,D,wrong,1394.0,86.0
82,A,A,correct,1287.0,122.0
83,A,B,wrong,1286.0,157.0
84,D,B,wrong,1448.0,193.0
85,C,A,wrong,1393.0,226.0
86,C,D,wrong,1395.0,296.0
87,D,B,wrong,1449.0,328.0
88,A,A,correct,1286.0,363.0
89,A,D,wrong,1287.0,397.0
90,A,C,wrong,1285.0,433.0
91,C,D,wrong,1396.0,500.0
92,A,B,wrong,1287.0,538.0
93,C,C,correct,1394.0,567.0
94,D,B,wrong,1450.0,603.0
95,B,A,wrong,1340.0,638.0
96,D,B,wrong,1449.0,705.0
97,A,C,wrong,1288.0,741.0
98,A,A,correct,1288.0,775.0
99,D,B,wrong,1449.0,807.0
100,C,B,wrong,1395.0,841.0
