q,answer
1,C
2,A
3,C
4,A
5,C
6,A
7,B
8,C
9,D
10,A
11,D
12,C
13,B
14,A
15,C
16,D
17,B
18,C
19,B
20,A
21,D
22,B
23,C
24,C
25,B
26,B
27,D
28,A
29,C
30,C
31,B
32,B
33,B
34,B
35,B
36,C
37,D
38,B
39,A
40,D
41,A
42,A
43,A
44,D
45,B
46,C
47,C
48,A
49,C
50,B
51,C
52,A
53,B
54,D
55,C
56,A
57,A
58,B
59,D
60,A
61,B
62,A
63,B
64,A
65,A
66,B
67,A
68,D
69,B
70,C
71,D
72,A
73,A
74,A
75,B
76,C
77,C
78,D
79,D
80,D
81,D
82,A
83,B
84,B
85,A
86,D
87,B
88,A
89,D
90,C
91,D
92,B
93,C
94,B
95,A
96,B
97,C
98,A
99,B
100,B
